is_test,epoch,current_step,prev_position,action,new_position,last_step,last_btc_price,last_eth_price,current_btc_price,current_eth_price,reward_PnL
FALSE,0,1,0,0,0,0,0,0,0,0,0
FALSE,0,2,0,2,2,1,0,0,0,0,0
FALSE,0,3,2,0,0,2,31276.4,1856.55,31310.95,1858.74,2.34387089
FALSE,0,4,0,1,1,3,0,0,0,0,0
FALSE,0,5,1,0,0,4,31227.98,1850.91,31239.12,1855.12,-59.8898155
FALSE,0,6,0,0,0,5,0,0,0,0,0
FALSE,0,7,0,1,1,6,0,0,0,0,0
FALSE,0,8,1,0,0,7,31346.12,1856.6,31355.94,1859.35,-36.60994183
FALSE,0,9,0,0,0,8,0,0,0,0,0
FALSE,0,10,0,0,0,9,0,0,0,0,0
FALSE,0,11,0,2,2,10,0,0,0,0,0
FALSE,0,12,2,0,0,11,31349.5,1861.31,31287.43,1855.99,-27.53320419
FALSE,0,13,0,2,2,12,0,0,0,0,0
FALSE,0,14,2,0,0,13,31284.96,1857.14,31434.08,1864.92,-18.05988132
FALSE,0,15,0,1,1,14,0,0,0,0,0
FALSE,0,16,1,2,2,15,31470.72,1863.83,31333.3,1852.98,45.78196155
FALSE,0,17,2,0,0,16,31333.3,1852.98,31413.25,1858.57,14.57511468
FALSE,0,18,0,2,2,17,0,0,0,0,0
FALSE,0,19,2,1,1,18,31365.19,1856.35,31462.49,1861.96,-2.512532173
FALSE,0,20,1,2,2,19,31462.49,1861.96,31511.77,1865.76,-14.93054265
FALSE,0,21,2,1,1,20,31511.77,1865.76,31527.53,1871.72,84.90147264
FALSE,0,22,1,2,2,21,31527.53,1871.72,31514.29,1869.98,16.06881873
FALSE,0,23,2,0,0,22,31514.29,1869.98,31488.86,1873.16,79.02171873
FALSE,0,24,0,1,1,23,0,0,0,0,0
FALSE,0,25,1,1,1,24,31483.05,1871.6,31433.81,1860.12,143.8703943
FALSE,0,26,1,2,2,25,31433.81,1860.12,31432.21,1857.14,48.75844666
FALSE,0,27,2,2,2,26,31432.21,1857.14,31395.55,1855.3,5.517885566
FALSE,0,28,2,1,1,27,31395.55,1855.3,31349.63,1857.59,84.67158168
FALSE,0,29,1,1,1,28,31349.63,1857.59,31356.81,1857.94,1.27322267
FALSE,0,30,1,1,1,29,31356.81,1857.94,31340.09,1858.8,-31.23438507
FALSE,0,31,1,0,0,30,31340.09,1858.8,31373.1,1859.84,15.47519604
FALSE,0,32,0,0,0,31,0,0,0,0,0
FALSE,0,33,0,1,1,32,0,0,0,0,0
FALSE,0,34,1,2,2,33,30753.03,1809.87,30312.73,1756.97,458.5685856
FALSE,0,35,2,2,2,34,30312.73,1756.97,30197.77,1758.79,146.3601768
FALSE,0,36,2,0,0,35,30197.77,1758.79,30189.19,1770.86,215.8174098
FALSE,0,37,0,0,0,36,0,0,0,0,0
FALSE,0,38,0,2,2,37,0,0,0,0,0
FALSE,0,39,2,0,0,38,29781.49,1754.59,29568.47,1742.46,7.131744795
FALSE,0,40,0,0,0,39,0,0,0,0,0
FALSE,0,41,0,0,0,40,0,0,0,0,0
FALSE,0,42,0,1,1,41,0,0,0,0,0
FALSE,0,43,1,1,1,42,29306.07,1735.45,29402.08,1740.95,3.133002679
FALSE,0,44,1,0,0,43,29402.08,1740.95,29444.71,1746.8,-56.16787932
FALSE,0,45,0,1,1,44,0,0,0,0,0
FALSE,0,46,1,1,1,45,29567.83,1754.69,29614.54,1760.02,-43.10445948
FALSE,0,47,1,1,1,46,29614.54,1760.02,29563.62,1756.75,4.101843956
FALSE,0,48,1,1,1,47,29563.62,1756.75,29497.24,1749.68,52.59810924
FALSE,0,49,1,2,2,48,29497.24,1749.68,29585.44,1757.26,-39.58855516
FALSE,0,50,2,1,1,49,29585.44,1757.26,29521.25,1753.32,-2.144312282
FALSE,0,51,1,2,2,50,29521.25,1753.32,29522.42,1753.4,-0.17698743
FALSE,0,52,2,0,0,51,29522.42,1753.4,29506.18,1752.5,1.086482263
FALSE,0,53,0,0,0,52,0,0,0,0,0
FALSE,0,54,0,2,2,53,0,0,0,0,0
FALSE,0,55,2,0,0,54,29499.49,1754.48,29478.41,1754.25,17.21282414
FALSE,0,56,0,0,0,55,0,0,0,0,0
FALSE,0,57,0,2,2,56,0,0,0,0,0
FALSE,0,58,2,0,0,57,29493.84,1755.12,29501.01,1753.82,-29.01579516
FALSE,0,59,0,0,0,58,0,0,0,0,0
